gene	control_rep1	control_rep2	control_rep3	WNT3A_rep1	WNT3A_rep2	WNT3A_rep3
A1BG	2.48616458951484	1.74695227686083	1.94095532462271	2.37552395039121	1.63681057417177	2.19555539193795
A1BG-AS1	0.790174733500278	1.04658146430284	0.901632711575919	0.828477734023373	0.583581216412018	0.837326887870325
A1CF	0.021249840020934	0.0562363495805854	0.0185683914531426	0.0207255140774725	0	0
A2M	0.196309547584592	0.24150425169182	0.139864121011968	0.29563593605569	0.673600353102091	0.459192136729633
A2M-AS1	0	0	0.07893976468409	0.0879003438108868	0.0965438485912667	0.0891008032015315
A2ML1	0.342280051734947	0.416553412536628	0.218628947785778	0.334687549378793	0.732566721480884	0.24530946274621
A2MP1	0.0485050367244967	0	0.0424345333775856	0	0	0
A4GALT	4.6351933434992	4.93078868064963	5.04332790963456	4.19570531687398	4.82382432883669	3.97090430852715
A4GNT	0.309425117972779	0.099231123015897	0.097086466605156	0	0	0
AAAS	5.57020727767976	5.58419765321562	5.52762731996196	5.57451034762233	5.52592365698297	5.48916927584362
AACS	2.98288989328678	2.68403097407221	2.99206938669486	2.70300557121547	2.51730624425871	2.66858642877694
AACSP1	0	0	0.0616875020336204	0.134345665414793	0.147328455471746	0.0696810882369097
AADAC	0.119027243261542	0	0	0.116185118568605	0	0.117756365659487
AADACL2	0	0	0	0	0	0
AADACL4	2.73305823259165	2.82472722040741	2.69580996428485	2.30289459257794	2.02937583975034	1.68553603382609
AADAT	1.39170666188959	1.32528966731287	1.30578363364737	0.936271346369243	1.18576564426005	1.07842586724611
AAED1	1.44697370190686	1.39486943776267	1.5333888464405	1.20079502131593	1.51328728251374	1.56122375444451
AAGAB	4.28471997010579	4.61875269432388	4.40153924838629	4.35652280287477	4.28757519116917	4.43920540283614
AAK1	1.85853957245671	1.85723896435915	1.86846831027042	1.68218152819998	1.97397195790314	1.77605139685739
AAMDC	4.01542211666833	3.69873651315635	3.54818685313914	4.41248138123971	3.78100848814825	3.91087775600591
AAMP	5.53452317704257	5.41865971569761	5.44373738934328	5.565200951129	5.52703387683616	5.54369115075467
AANAT	0.102750931383514	0.41097675475425	0.0901000870441666	0	0.110099539049672	0
AAR2	4.42500885002889	4.40038545810554	4.53541467099766	4.64489225136196	4.73408337866845	4.65537545235699
AARD	2.51846426435508	2.20791810060067	2.38854518800845	1.95424189270666	1.44131566407762	1.64430302483589
AARS	7.07927381652566	6.96322453565607	7.76813350150448	7.74570161185419	8.17126962686794	8.02331048282989
AARS2	4.39022416820683	3.96280134803343	3.81916180424035	3.77069082953881	3.93440980509777	3.99352913734984
AARSD1	1.25620057364678	1.10072517626111	1.14554598866013	1.47030688896367	0.939632608850988	1.04006598389691
AASDH	2.57442208990448	2.43045938374117	2.51212859800507	2.16691063831658	2.46508675003244	2.34606216305257
AASDHPPT	4.06885514801266	4.26196519839558	4.35787446296479	4.25498704414971	4.2424164199955	4.09780999792753
AASS	5.05654727445549	4.52833285586158	4.51891391122492	4.63037337902206	4.22060190957396	4.49805467399749
AATF	4.86285150434313	5.126185843228	5.22018200933098	5.35096708013258	5.75870773617885	5.41543681129861
AATK	0.403103379998677	0.541764962064478	0.600193588661694	1.33302404311727	1.23653674463261	1.43300277125623
ABAT	2.91117829290071	3.02786558048533	2.92578004103831	2.82056821373027	2.81334711255772	2.64381912414061
ABCA1	0.896261426801863	0.612323250073812	0.929473387463523	1.24167473699481	1.35687479178689	1.56372338394066
ABCA10	0.0626654523962795	0.187444857294565	0.255534301502134	0.23040117082548	0.162504324159489	0.121413188134347
ABCA11P	2.30704682188937	1.54221308323665	1.97135434951076	2.02410453828363	1.4465561900519	1.67085516368226
ABCA12	0.0222161364697265	0.0587615434746144	0.130709326677924	0.0847858116694202	0.0704071744776646	0.021970990838091
